long,lat,id,nombre,tipo,tipo_norma,sede,direccion,direccion_2,observaciones_direccion,telefono,e_mail,facebook,web,actividade,instalacio,calle,altura,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.3735998027628,-34.6038076278375,270,CIRCULO POLICIA FEDERAL,CLUB,CLUB,SEDE SOCIAL,San Martín 353,San Martín 353,,4394-2409,info@cpf.org.ar - cpf@iplnmail.com.ar,Club Círculo Policía Federal,www.cpf.org.ar,"futsal, patin, voley, hockey, natacion, artes marciales",4 natatorios (1 cubierto) - 2  canchas - 4 salones,San Martín ,353,San Nicolas,Comuna 1,1004,C1004AAG
-58.4182751233009,-34.6148667297669,206,CENTRO NAVARRO DE BUENOS AIRES,CLUB DE BARRIO,CLUB_DE_BARRIO,,Moreno 3682,Moreno 3682,,4932-7518,centronavarro@fibertel.com.ar,Centro Navarro de Buenos Aires Organización,www.centronavarro.org,"Pelota paleta, danzas navarras, taekwondo. Actividades culturales.",1 cancha - 1 salon - Biblioteca,Moreno ,3682,Almagro,Comuna 5,1209,C1209ABR
-58.4028147822339,-34.6131590729385,135,CIRCULO SOCIAL Y DEPORTIVO DEL ONCE,CLUB DE BARRIO,CLUB_DE_BARRIO,UNICA,Moreno 2583/87,Moreno 2583,,4942-4443,,CIRCULO DEL ONCE,,"Billar, taekwondo, pesca deportiva, yoga, relajacion, kung fu, backgammon, ajedrez.",3 salones,Moreno ,2583,Balvanera,Comuna 3,1094,C1094ABO
-58.3984538107896,-34.6058540132103,98,SOCIEDAD HEBRAICA ARGENTINA,CLUB,CLUB,CENTRAL CABA Y SEDE PILAR,Sarmiento 2233,Sarmiento 2233,,4952-5887    4953-4117/2914    4952-5880,hebraica@hebraica.org.ar,SOCIEDAD HEBRAICA ARGENTINA - PAGINA OFICIAL,www.hebraica.org.ar,"Futsal, basket, voley, judo, karate, ajedrez, fútbol 11, hockey, rugby, tenis de mesa, gimnasia, natacion, pesas, tenis, golf,voley femenino,fútbol femenino.",canchas - salones - natatorio - gimnasios,Sarmiento ,2233,Balvanera,Comuna 3,1044,C1044AAI
-58.3729774351141,-34.6226019571884,9,SAN TELMO,CLUB,CLUB,ANEXO POLIDEPORTIVO CENTENARIO,Bolivar 1257,Bolivar 1257,,4-300-8965 / 4-300-8902,soydetelmo@hotmail.com,Club Atletico San Telmo,www.soydetelmo.com.ar,"Fútbol profesional, Handball federado damas y caballeros, Hockey federado damas y caballeros, Boxeo federado, Patín artístico, Escuela de fútbol, Fútbol femenino, Gimnasia para adultos. Clases de tango. Actividades culturales.",,Bolivar ,1257,San Telmo,Comuna 1,1141,C1141AAA
-58.5074390225635,-34.623428147558,237,CLUB VECINAL Y DEPORTIVO DEFENSORES DE CERVANTES,CLUB DE BARRIO,CLUB_DE_BARRIO,,Cervantes  1734,Cervantes  1734,,4648-4277,,,,"baby fútbol, futsal, patin, artes marciales,yoga. Actividades. Culturales.",1 cancha - 2 salones,Cervantes  ,1734,Monte Castro,Comuna 10,1407,C1407BHF
-58.4728590513665,-34.6627064291378,221,Club Deportivo Español,CLUB,CLUB,ANEXOS,Dellepiane y Escalada,Dellepiane,y Escalada,S/T,clubespañol@speedy.com.ar,,,"baby, futsal, patin, voley, artes marciales, danza, otros. Actividades culturales.",,Dellepiane,,,,,
-58.4539941931464,-34.6828914029594,216,GOLF CLUB JOSE JURADO,CLUB,CLUB,,Av. Roca 5025,Av. Roca 5025,,4605-4706,,,,golf,campo de golf,Av. Roca ,5025,,,,
-58.4165725269514,-34.6504769184127,199,CLUB UNIDOS DE POMPEYA,CLUB DE BARRIO,CLUB_DE_BARRIO,,Saenz 871,Saenz 871,,,,,,,salon - natatorio,Saenz ,871,,,,
-58.3802363048757,-34.6116322967714,191,CLUB DE PELOTA Y ESGRIMA,CLUB DE BARRIO,CLUB_DE_BARRIO,,Moreno  981,Moreno  981,,4342-4820,,,,pelota-paleta,cancha de paleta - salon,Moreno  ,981,Monserrat,Comuna 1,1091,C1091AAS
