id,fna,gna,nam,cui,cue,anx,ges,nen_mde,tip,dep,dir,bar,com,sag,geometry
1,Establecimiento educativo JIN C DE 01 (ESC.PRIM. Nº 1 DE 01),Establecimiento Educativo,JIN C DE 01 (ESC.PRIM. Nº 1 DE 01),200001.0,200713.0,03,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Ayacucho 1670 - Ayacucho 1680,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26519.672420170136 74333.08247789621)
2,Establecimiento educativo JUAN JOSE CASTELLI,Establecimiento Educativo,JUAN JOSE CASTELLI,200001.0,201160.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Ayacucho 1670 - Ayacucho 1680,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26519.672420170136 74333.08247789621)
3,Establecimiento educativo UNIDAD DE GESTION EDUC. EXPERIMENTAL N°1 DE 01,Establecimiento Educativo,UNIDAD DE GESTION EDUC. EXPERIMENTAL N°1 DE 01,200001.0,201847.0,00,Estatal,Nivel secundario de jóvenes y adultos,Unidad de Gestión Educativa Experimental,Dirección de Educación del Adulto y del Adolescente,Ayacucho 1670 - Ayacucho 1680,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26519.672420170136 74333.08247789621)
4,Establecimiento educativo JIC N°04 CINCO ESQUINAS DE 01,Establecimiento Educativo,JIC N°04 CINCO ESQUINAS DE 01,200002.0,201132.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Jardines de Infantes Comunes (JIC),Dirección de Educación Inicial,"Quintana, Manuel, Pres. 31 - Quintana, Manuel, Pres. 7",Retiro,1,Mapa Escolar - Ministerio de Educación,POINT (27197.61887689744 74102.06444756755)
5,Establecimiento educativo DOMINGO FAUSTINO SARMIENTO,Establecimiento Educativo,DOMINGO FAUSTINO SARMIENTO,200002.0,201133.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,"Quintana, Manuel, Pres. 31 - Quintana, Manuel, Pres. 7",Retiro,1,Mapa Escolar - Ministerio de Educación,POINT (27197.61887689744 74102.06444756755)
6,Establecimiento educativo ESCUELA DE MUSICA Nº 16 DE 01,Establecimiento Educativo,ESCUELA DE MUSICA Nº 16 DE 01,200002.0,202874.0,00,Estatal,Servicios complementarios/alternativos,Escuelas de Música - Primarias-,Dirección de Educación Primaria,"Quintana, Manuel, Pres. 31 - Quintana, Manuel, Pres. 7",Retiro,1,Mapa Escolar - Ministerio de Educación,POINT (27197.61887689744 74102.06444756755)
7,Establecimiento educativo ESEA DANZA MASTRAZZI CURSO INFANTIL N°04,Establecimiento Educativo,ESEA DANZA MASTRAZZI CURSO INFANTIL N°04,200002.0,203027.0,15,Estatal,Cursos y talleres de la submodalidad artística,Escuelas Superiores de Educación Artística (ESEA),Dirección de Educación Artística,"Quintana, Manuel, Pres. 31 - Quintana, Manuel, Pres. 7",Retiro,1,Mapa Escolar - Ministerio de Educación,POINT (27197.61887689744 74102.06444756755)
8,"Establecimiento educativo ESEA DANZA Nº 1 RAMICONE ""CURSO VOC.FOLKLORE N° 04""",Establecimiento Educativo,"ESEA DANZA Nº 1 RAMICONE ""CURSO VOC.FOLKLORE N° 04""",200002.0,203028.0,04,Estatal,Cursos y talleres de la submodalidad artística,Escuelas Superiores de Educación Artística (ESEA),Dirección de Educación Artística,"Quintana, Manuel, Pres. 31 - Quintana, Manuel, Pres. 7",Retiro,1,Mapa Escolar - Ministerio de Educación,POINT (27197.61887689744 74102.06444756755)
9,Establecimiento educativo ONESIMO LEGUIZAMON,Establecimiento Educativo,ONESIMO LEGUIZAMON,200003.0,200393.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos | Nivel primario de jóvenes y adultos,Escuelas Primarias para Adultos,Dirección de Educación del Adulto y del Adolescente,Santa Fe Av. 1510,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26853.623858318413 73693.09740542197)
10,Establecimiento educativo ONESIMO LEGUIZAMON,Establecimiento Educativo,ONESIMO LEGUIZAMON,200003.0,201161.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Santa Fe Av. 1510,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26853.623858318413 73693.09740542197)
11,Establecimiento educativo CENS Nº 08 DR.LUIS FEDERICO LELOIR DE 01,Establecimiento Educativo,CENS Nº 08 DR.LUIS FEDERICO LELOIR DE 01,200004.0,200965.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,Reconquista 461,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (28338.49763588814 72974.06754462289)
12,Establecimiento educativo DE CATEDRAL AL NORTE JOSE M. ESTRADA,Establecimiento Educativo,DE CATEDRAL AL NORTE JOSE M. ESTRADA,200004.0,201122.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Reconquista 461,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (28338.49763588814 72974.06754462289)
13,Establecimiento educativo NICOLAS RODRIGUEZ PEÑA,Establecimiento Educativo,NICOLAS RODRIGUEZ PEÑA,200005.0,200251.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,Rodriguez Peña 747,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (26605.61910793434 73200.13015504135)
14,Establecimiento educativo IFTS Nº 09 DE 01,Establecimiento Educativo,IFTS Nº 09 DE 01,200005.0,201284.0,00,Estatal,Nivel superior no universitario común,Institutos de Formación Técnica Superior,Dirección de Educación Técnica Superior,Rodriguez Peña 747,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (26605.61910793434 73200.13015504135)
15,Establecimiento educativo JII Nº 13 DE 01,Establecimiento Educativo,JII Nº 13 DE 01,200005.0,203130.0,00,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Integrales (JII),Dirección de Educación Inicial,Rodriguez Peña 747,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (26605.61910793434 73200.13015504135)
16,Establecimiento educativo FRENCH Y BERUTI,Establecimiento Educativo,FRENCH Y BERUTI,200006.0,200121.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Basavilbaso 1295 - Juncal 690,Retiro,1,Mapa Escolar - Ministerio de Educación,POINT (27915.568870291947 74016.03814200725)
17,Establecimiento educativo JII Nº 02 DE 01,Establecimiento Educativo,JII Nº 02 DE 01,200006.0,200790.0,00,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Integrales (JII),Dirección de Educación Inicial,Basavilbaso 1295 - Juncal 690,Retiro,1,Mapa Escolar - Ministerio de Educación,POINT (27915.568870291947 74016.03814200725)
18,Establecimiento educativo FRENCH Y BERUTI,Establecimiento Educativo,FRENCH Y BERUTI,200006.0,201663.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos | Nivel primario de jóvenes y adultos,Escuelas Primarias para Adultos,Dirección de Educación del Adulto y del Adolescente,Basavilbaso 1295 - Juncal 690,Retiro,1,Mapa Escolar - Ministerio de Educación,POINT (27915.568870291947 74016.03814200725)
19,Establecimiento educativo CENS Nº 90 DE 01,Establecimiento Educativo,CENS Nº 90 DE 01,200006.0,202738.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,Basavilbaso 1295 - Juncal 690,Retiro,1,Mapa Escolar - Ministerio de Educación,POINT (27915.568870291947 74016.03814200725)
